iter	RMSE
125	72120.99589
126	72111.11786
127	72103.96797
128	72092.04221
129	72078.64153
130	72069.70384
131	72062.06047
132	72057.73874
133	72049.25744
134	72042.15873
135	72032.09564
136	72022.57926
137	72017.09216
138	72011.116
139	72002.32329
140	71995.96498
141	71987.86457
142	71981.32997
143	71973.79928
144	71969.0869
145	71963.01414
146	71959.16584
147	71953.98408
148	71945.35945
149	71940.73522
150	71935.74918
151	71926.4139
152	71911.32117
153	71908.29007
154	71900.44364
155	71890.98226
156	71885.66053
157	71876.71521
158	71870.67607
159	71862.27483
160	71851.93542
161	71836.40303
162	71833.08368
163	71828.89232
164	71814.81818
165	71809.0123
166	71803.95532
167	71799.19661
168	71787.47759
169	71784.72524
170	71774.53454
171	71768.47521
172	71763.55801
173	71762.46453
174	71751.66988
175	71742.59267
176	71738.235
177	71732.59628
178	71724.09852
179	71716.83197
180	71710.26234
181	71703.781
182	71695.42531
183	71682.12346
184	71676.71119
185	71669.89736
186	71661.93869
187	71652.8269
188	71648.44454
189	71643.80187
190	71631.45871
191	71625.66257
192	71621.56124
193	71615.61603
194	71612.72809
195	71605.38626
196	71601.44776
197	71583.75873
198	71575.9808
199	71568.3416
200	71559.53964
201	71552.88414
202	71544.88723
203	71534.92224
204	71530.50469
205	71520.53431
206	71515.82069
207	71506.45306
208	71499.02293
209	71491.09152
210	71483.96666
211	71478.98278
212	71471.42306
213	71467.22633
214	71463.22754
215	71456.29705
216	71451.13458
217	71445.68189
218	71439.33242
219	71431.71422
220	71427.94625
221	71419.17177
222	71411.7074
223	71404.57551
224	71399.64578
225	71395.82332
226	71390.90528
227	71384.89227
228	71377.52967
229	71367.68454
230	71362.307
231	71359.42341
232	71352.7174
233	71347.34187
234	71333.66876
235	71316.96895
236	71306.97921
237	71302.79319
238	71297.21823
239	71292.10433
240	71284.58295
241	71282.23887
242	71276.27686
243	71264.86442
244	71259.50254
245	71254.87383
246	71252.47897
247	71245.23436
248	71240.55196
249	71237.9539
250	71234.16787
251	71222.89684
252	71213.23232
253	71208.94365
254	71202.28417
255	71192.7486
256	71185.57529
257	71180.16844
258	71173.22815
259	71163.13795
260	71149.8765
261	71146.82081
262	71138.61094
263	71131.06394
264	71125.4994
265	71117.67696
266	71110.98546
267	71107.4206
268	71098.9062
269	71091.51923
270	71084.57554
271	71082.24951
272	71079.67467
273	71075.79323
274	71072.18035
275	71069.48449
276	71063.34602
277	71058.50687
278	71054.03938
279	71050.01957
280	71042.89082
281	71033.57161
282	71026.25015
283	71022.799
284	71014.55553
285	71006.84391
286	71000.65547
287	70997.63716
288	70991.52934
289	70980.57563
290	70972.3399
291	70962.70481
292	70961.0942
293	70958.54998
294	70952.27305
295	70941.76371
296	70933.89949
297	70919.06383
298	70913.88574
299	70911.25151
300	70907.94729
301	70898.92448
302	70895.9403
303	70888.45029
304	70881.37859
305	70875.36419
306	70865.04972
307	70854.27461
308	70849.98895
309	70842.84307
310	70836.10642
311	70829.85137
312	70825.94183
313	70821.76088
314	70816.25451
315	70806.8465
316	70801.32629
317	70796.99156
318	70784.95816
319	70776.04921
320	70771.21772
321	70765.36898
322	70760.44914
323	70746.94212
324	70738.99712
325	70728.57154
326	70724.42532
327	70715.16306
328	70710.03286
329	70694.69919
330	70688.5488
331	70682.98984
332	70673.09908
333	70665.61786
334	70655.51398
335	70648.49994
336	70641.60775
337	70636.46707
338	70633.16891
339	70624.85926
340	70617.13253
341	70614.53439
342	70608.33398
343	70605.24878
344	70596.34765
345	70590.34855
346	70582.57284
347	70575.56984
348	70571.25608
349	70565.57415
350	70556.5705
351	70546.89296
352	70542.11857
353	70533.82329
354	70530.13268
355	70525.98094
356	70515.3514
357	70507.48252
358	70501.94581
359	70495.81687
360	70489.11425
361	70483.91314
362	70479.70046
363	70474.23709
364	70470.5634
365	70464.52326
366	70456.25843
367	70449.39026
368	70442.94675
369	70437.55522
370	70430.60004
371	70419.51852
372	70415.05684
373	70408.00611
