iter	RMSE
144	72995.17751
145	72990.61126
146	72981.36738
147	72972.68586
148	72961.40282
149	72950.31719
150	72940.17827
151	72924.37139
152	72916.04206
153	72906.21594
154	72899.19958
155	72887.91848
156	72876.90863
157	72870.76756
158	72864.94188
159	72859.30124
160	72854.49717
161	72851.51188
162	72836.47669
163	72828.76064
164	72820.26724
165	72815.23329
166	72803.84445
167	72793.77191
168	72792.21488
169	72782.61516
170	72772.7811
171	72767.96297
172	72765.76605
173	72764.87408
174	72762.3706
175	72751.78743
176	72741.367
177	72735.06461
178	72728.28267
179	72718.62738
180	72714.77807
181	72709.21761
182	72705.07497
183	72699.35715
184	72692.87434
185	72685.1722
186	72675.33003
187	72666.91015
188	72662.31286
189	72651.63772
190	72646.70359
191	72638.66227
192	72634.62071
193	72622.99337
194	72612.481
195	72601.33058
196	72598.0844
197	72587.98435
198	72579.51888
199	72560.24375
200	72550.42848
201	72545.3759
202	72543.9341
203	72539.92285
204	72531.30188
205	72525.28769
206	72519.15076
207	72513.53436
208	72509.33751
209	72504.17937
210	72488.17915
211	72474.61474
212	72472.99885
213	72465.19817
214	72455.21239
215	72450.57998
216	72440.95346
217	72431.49658
218	72424.30953
219	72421.00674
220	72420.13768
221	72415.99656
222	72411.93487
223	72401.98184
224	72391.8412
225	72379.15568
226	72368.1351
227	72358.35864
228	72350.63175
229	72344.33807
230	72332.65944
231	72329.91936
232	72307.20999
233	72302.91375
234	72291.7493
235	72283.7623
236	72271.39796
237	72267.01744
238	72260.31934
239	72252.90799
240	72249.80505
241	72246.6018
242	72240.25236
243	72234.0544
244	72224.65365
245	72221.18602
246	72210.71652
247	72201.32752
248	72196.94611
249	72192.53324
250	72188.13097
251	72179.17847
252	72170.42084
253	72162.20221
254	72154.74681
255	72148.88617
256	72139.66039
257	72128.59714
258	72123.08605
259	72116.14134
260	72111.52653
261	72107.8344
262	72103.40523
263	72092.64361
264	72082.06612
265	72071.84619
266	72068.70795
267	72066.69247
268	72064.5423
269	72061.03889
270	72051.91659
271	72038.35469
272	72028.39815
273	72027.04661
274	72015.90359
275	72007.45682
276	72002.8853
277	71998.23939
278	71990.533
279	71983.37301
280	71978.14996
281	71972.23734
282	71963.7797
283	71949.66778
284	71944.29282
285	71936.92185
286	71930.3492
287	71920.34427
288	71912.74138
289	71904.36757
290	71896.96616
291	71889.63947
292	71880.74852
293	71872.36248
294	71865.77342
295	71857.43576
296	71852.3833
297	71845.60134
298	71837.6462
299	71829.78892
300	71820.94482
301	71814.63234
302	71811.76731
303	71803.83384
304	71799.81292
305	71795.3294
306	71789.41001
307	71784.60159
308	71782.65597
309	71777.78022
310	71770.19627
311	71766.08257
312	71763.95251
313	71759.78517
314	71752.75524
315	71745.98183
316	71737.28398
317	71727.04643
318	71725.7785
319	71721.81037
320	71714.98643
321	71707.35173
322	71700.93702
323	71696.32498
324	71687.81693
325	71683.88747
326	71678.49494
327	71673.74999
328	71672.10077
329	71666.32594
330	71660.93355
331	71657.15895
332	71649.53431
333	71638.87573
334	71632.31805
335	71625.92441
336	71624.71724
337	71620.47983
338	71615.72694
339	71611.30506
340	71603.87066
341	71599.25721
342	71587.07128
343	71581.60893
344	71575.86231
345	71567.52921
346	71556.35025
347	71546.21834
348	71541.75945
349	71535.32434
350	71526.46243
351	71522.55809
352	71511.28239
353	71507.31873
354	71499.34118
355	71494.05728
356	71489.96822
357	71482.75722
358	71474.54373
359	71470.53149
360	71463.22769
361	71454.42935
362	71444.24085
363	71439.87103
364	71430.32124
365	71423.33344
366	71414.98769
367	71410.41303
368	71406.98904
369	71397.79955
370	71395.02393
371	71394.66076
372	71387.97724
373	71380.10663
